algorithm,repetition,num_tests,input_path_coverage,input_operation_coverage,input_parameter_coverage,input_parameter_value_coverage,output_status_code_class_coverage,output_status_code_coverage,output_response_body_properties_coverage
RANDOM,0,52,100.0,100.0,100.0,66.66666666666666,78.94736842105263,57.77777777777777,42.772861356932154
SMARTS,0,66,100.0,100.0,93.02325581395348,25.0,78.94736842105263,51.11111111111111,25.221238938053098
WTS,0,52,100.0,100.0,100.0,66.66666666666666,78.94736842105263,57.77777777777777,37.315634218289084
RANDOM,1,57,100.0,100.0,100.0,66.66666666666666,78.94736842105263,62.22222222222222,31.41592920353982
SMARTS,1,72,100.0,100.0,100.0,58.333333333333336,86.8421052631579,62.22222222222222,34.365781710914455
WTS,1,59,100.0,100.0,100.0,66.66666666666666,86.8421052631579,57.77777777777777,35.54572271386431
RANDOM,2,52,100.0,100.0,100.0,66.66666666666666,76.31578947368422,55.55555555555556,31.563421828908556
SMARTS,2,67,100.0,100.0,90.69767441860465,58.333333333333336,84.21052631578947,57.77777777777777,28.466076696165192
WTS,2,52,100.0,100.0,100.0,66.66666666666666,78.94736842105263,60.0,32.00589970501475
RANDOM,3,61,100.0,100.0,100.0,66.66666666666666,84.21052631578947,57.77777777777777,37.46312684365782
SMARTS,3,71,100.0,100.0,88.37209302325581,25.0,81.57894736842105,53.333333333333336,26.991150442477874
WTS,3,64,100.0,100.0,100.0,66.66666666666666,78.94736842105263,62.22222222222222,42.92035398230089
RANDOM,4,55,100.0,100.0,100.0,66.66666666666666,89.47368421052632,60.0,38.49557522123894
SMARTS,4,71,100.0,100.0,83.72093023255815,41.66666666666667,81.57894736842105,55.55555555555556,31.858407079646017
WTS,4,58,100.0,100.0,100.0,58.333333333333336,84.21052631578947,62.22222222222222,39.52802359882006
RANDOM,5,62,100.0,100.0,100.0,66.66666666666666,76.31578947368422,57.77777777777777,42.0353982300885
SMARTS,5,75,100.0,100.0,97.67441860465115,41.66666666666667,84.21052631578947,57.77777777777777,28.466076696165192
WTS,5,56,100.0,100.0,100.0,58.333333333333336,76.31578947368422,60.0,38.93805309734513
RANDOM,6,55,100.0,100.0,100.0,58.333333333333336,84.21052631578947,55.55555555555556,35.25073746312684
SMARTS,6,71,100.0,100.0,93.02325581395348,50.0,86.8421052631579,60.0,32.00589970501475
WTS,6,70,100.0,100.0,100.0,58.333333333333336,81.57894736842105,57.77777777777777,42.0353982300885
RANDOM,7,60,100.0,100.0,100.0,66.66666666666666,81.57894736842105,57.77777777777777,38.64306784660767
SMARTS,7,72,100.0,100.0,86.04651162790698,50.0,84.21052631578947,57.77777777777777,31.858407079646017
WTS,7,58,100.0,100.0,100.0,50.0,78.94736842105263,57.77777777777777,37.46312684365782
RANDOM,8,64,100.0,100.0,100.0,66.66666666666666,81.57894736842105,62.22222222222222,36.283185840707965
SMARTS,8,73,100.0,100.0,93.02325581395348,25.0,84.21052631578947,60.0,33.33333333333333
WTS,8,49,100.0,100.0,100.0,66.66666666666666,76.31578947368422,57.77777777777777,37.46312684365782
RANDOM,9,54,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,38.49557522123894
SMARTS,9,73,100.0,100.0,95.34883720930233,41.66666666666667,84.21052631578947,55.55555555555556,30.383480825958703
WTS,9,56,100.0,100.0,100.0,66.66666666666666,76.31578947368422,57.77777777777777,39.08554572271387
