algorithm,repetition,raw_tests,candidates_gt1,timed_out,minim_seconds,final_tests
RANDOM,0,79,72,True,1257,78
SMARTS,0,77,36,True,590,77
WTS,0,67,56,True,1267,65
RANDOM,1,73,63,True,1144,72
SMARTS,1,76,36,True,691,76
WTS,1,69,62,True,1140,68
RANDOM,2,76,63,True,1198,76
SMARTS,2,81,41,True,679,81
WTS,2,77,67,True,1180,77
RANDOM,3,71,64,True,1286,70
SMARTS,3,83,44,True,734,83
WTS,3,75,65,True,1204,74
RANDOM,4,74,63,True,1237,71
SMARTS,4,83,43,True,767,83
WTS,4,72,65,True,1244,72
RANDOM,5,71,64,True,1078,69
SMARTS,5,81,41,True,621,81
WTS,5,77,69,True,1235,77
RANDOM,6,76,64,True,1308,76
SMARTS,6,82,42,True,710,82
WTS,6,78,63,True,1311,75
RANDOM,7,64,56,True,918,64
SMARTS,7,85,45,True,662,85
WTS,7,80,70,True,1248,79
RANDOM,8,80,65,True,1350,78
SMARTS,8,84,45,True,762,84
WTS,8,72,65,True,1191,70
RANDOM,9,76,63,True,1085,76
SMARTS,9,87,47,True,787,87
WTS,9,80,69,True,1252,80
